lower,d13C
5.0,0.1456691613828477
6.0,0.19955138999833172
7.0,0.07018986371710893
8.0,0.12218486481004698
9.0,0.008792687318459813
10.0,0.011308449350193496
11.0,-0.0029238794011977403
12.0,-0.07168101573816102
13.0,-0.12500471523016732
14.0,-0.17400854174940114
15.0,-0.2063999589666022
16.0,-0.2023636476749837
17.0,-0.243170897531816
18.0,-0.24198033614547962
19.0,-0.2642333190566627
20.0,-0.2238911811291873
21.0,-0.21100409143812188
22.0,-0.22468707426587892
23.0,-0.17447087818057627
24.0,-0.13942352244676617
25.0,-0.12800829274937808
26.0,-0.09708015421254836
27.0,-0.11589777992053621
28.0,-0.1490523062300995
29.0,-0.09621658752611939
