Gas_age	d13CO2	d13CO2_stdev
104.728	-6.609	0.090
104.729	-6.609	0.090
104.730	-6.609	0.090
104.731	-6.609	0.090
104.732	-6.609	0.090
104.733	-6.609	0.090
104.734	-6.609	0.089
104.735	-6.609	0.089
104.736	-6.610	0.089
104.737	-6.610	0.089
104.738	-6.610	0.089
104.739	-6.610	0.089
104.740	-6.610	0.089
104.741	-6.610	0.088
104.742	-6.610	0.088
104.743	-6.610	0.088
104.744	-6.611	0.088
104.745	-6.611	0.088
104.746	-6.611	0.088
104.747	-6.611	0.087
104.748	-6.611	0.087
104.749	-6.611	0.087
104.750	-6.611	0.087
104.751	-6.612	0.087
104.752	-6.612	0.087
104.753	-6.612	0.086
104.754	-6.612	0.086
104.755	-6.612	0.086
104.756	-6.612	0.086
104.757	-6.612	0.086
104.758	-6.612	0.086
104.759	-6.613	0.086
104.760	-6.613	0.085
104.761	-6.613	0.085
104.762	-6.613	0.085
104.763	-6.613	0.085
104.764	-6.613	0.085
104.765	-6.613	0.085
104.766	-6.613	0.085
104.767	-6.614	0.084
104.768	-6.614	0.084
104.769	-6.614	0.084
104.770	-6.614	0.084
104.771	-6.614	0.084
104.772	-6.614	0.084
104.773	-6.614	0.084
104.774	-6.615	0.083
104.775	-6.615	0.083
104.776	-6.615	0.083
104.777	-6.615	0.083
104.778	-6.615	0.083
104.779	-6.615	0.083
104.780	-6.615	0.083
104.781	-6.615	0.082
104.782	-6.616	0.082
104.783	-6.616	0.082
104.784	-6.616	0.082
104.785	-6.616	0.082
104.786	-6.616	0.082
104.787	-6.616	0.082
104.788	-6.616	0.081
104.789	-6.616	0.081
104.790	-6.617	0.081
104.791	-6.617	0.081
104.792	-6.617	0.081
104.793	-6.617	0.081
104.794	-6.617	0.081
104.795	-6.617	0.081
104.796	-6.617	0.080
104.797	-6.617	0.080
104.798	-6.618	0.080
104.799	-6.618	0.080
104.800	-6.618	0.080
104.801	-6.618	0.080
104.802	-6.618	0.080
104.803	-6.618	0.079
104.804	-6.618	0.079
104.805	-6.618	0.079
104.806	-6.618	0.079
104.807	-6.619	0.079
104.808	-6.619	0.079
104.809	-6.619	0.079
104.810	-6.619	0.079
104.811	-6.619	0.078
104.812	-6.619	0.078
104.813	-6.619	0.078
104.814	-6.619	0.078
104.815	-6.620	0.078
104.816	-6.620	0.078
104.817	-6.620	0.078
104.818	-6.620	0.078
104.819	-6.620	0.078
104.820	-6.620	0.077
104.821	-6.620	0.077
104.822	-6.620	0.077
104.823	-6.621	0.077
104.824	-6.621	0.077
104.825	-6.621	0.077
104.826	-6.621	0.077
104.827	-6.621	0.077
104.828	-6.621	0.076
104.829	-6.621	0.076
104.830	-6.621	0.076
104.831	-6.621	0.076
104.832	-6.622	0.076
104.833	-6.622	0.076
104.834	-6.622	0.076
104.835	-6.622	0.076
104.836	-6.622	0.076
104.837	-6.622	0.075
