Gas_age	d13CO2	d13CO2_stdev
0.600	-6.37	0.09
0.700	-6.39	0.07
0.800	-6.40	0.06
0.900	-6.41	0.06
1.000	-6.42	0.05
1.100	-6.43	0.05
1.200	-6.43	0.05
1.300	-6.43	0.05
1.400	-6.43	0.05
1.500	-6.43	0.05
1.600	-6.42	0.04
1.700	-6.42	0.04
1.800	-6.41	0.04
1.900	-6.41	0.04
2.000	-6.40	0.04
2.100	-6.40	0.04
2.200	-6.39	0.04
2.300	-6.38	0.04
2.400	-6.38	0.04
2.500	-6.37	0.04
2.600	-6.37	0.04
2.700	-6.37	0.04
2.800	-6.36	0.04
2.900	-6.36	0.04
3.000	-6.35	0.04
3.100	-6.35	0.04
3.200	-6.35	0.04
3.300	-6.34	0.04
3.400	-6.34	0.04
3.500	-6.34	0.04
3.600	-6.34	0.04
3.700	-6.34	0.04
3.800	-6.34	0.04
3.900	-6.33	0.04
4.000	-6.33	0.04
4.100	-6.33	0.04
4.200	-6.33	0.04
4.300	-6.33	0.04
4.400	-6.33	0.03
4.500	-6.33	0.03
4.600	-6.33	0.03
4.700	-6.33	0.03
4.800	-6.33	0.03
4.900	-6.33	0.03
5.000	-6.33	0.03
5.100	-6.33	0.03
5.200	-6.33	0.03
5.300	-6.33	0.03
5.400	-6.33	0.03
5.500	-6.33	0.03
5.600	-6.33	0.03
5.700	-6.33	0.03
5.800	-6.33	0.03
5.900	-6.33	0.04
6.000	-6.33	0.04
6.100	-6.33	0.03
6.200	-6.33	0.03
6.300	-6.33	0.03
6.400	-6.33	0.03
6.500	-6.33	0.03
6.600	-6.33	0.03
6.700	-6.33	0.03
6.800	-6.33	0.03
6.900	-6.33	0.03
7.000	-6.33	0.03
7.100	-6.33	0.03
7.200	-6.34	0.03
7.300	-6.34	0.03
7.400	-6.34	0.03
7.500	-6.34	0.03
7.600	-6.34	0.03
7.700	-6.35	0.03
7.800	-6.35	0.03
7.900	-6.36	0.03
8.000	-6.36	0.03
8.100	-6.37	0.03
8.200	-6.37	0.03
8.300	-6.38	0.03
8.400	-6.39	0.03
8.500	-6.39	0.03
8.600	-6.40	0.03
8.700	-6.41	0.03
8.800	-6.42	0.03
8.900	-6.43	0.04
9.000	-6.43	0.04
9.100	-6.44	0.04
9.200	-6.45	0.04
9.300	-6.46	0.04
9.400	-6.47	0.04
9.500	-6.48	0.04
9.600	-6.49	0.03
9.700	-6.50	0.03
9.800	-6.51	0.03
